shipment_id,ship_date,region,transport_mode,distance_km,shipment_volume_kg,delivery_time_hours,sla_hours,on_time,transport_cost_usd,customer_satisfaction,month,cost_per_kg
SHP00027,2025-10-05,North,Road,465.4,94.5,19.1,24,True,434.44,4.89,2025-10,4.597
SHP00028,2025-04-10,West,Road,198.2,495.8,8.42,24,True,204.06,5.0,2025-04,0.412
SHP00029,2025-11-21,North,Road,838.6,111.4,20.57,24,True,828.63,3.96,2025-11,7.438
SHP00030,2025-09-25,West,Rail,785.8,928.5,44.68,30,False,477.78,3.05,2025-09,0.515
SHP00031,2025-08-05,South,Sea,506.1,486.3,46.5,50,True,151.87,4.55,2025-08,0.312
SHP00032,2025-07-09,West,Road,521.4,212.9,18.7,24,True,450.19,4.68,2025-07,2.115
SHP00033,2025-01-19,East,Road,682.9,873.1,30.22,24,False,561.63,2.81,2025-01,0.643
SHP00034,2025-02-22,South,Road,466.9,358.8,35.15,24,False,396.28,2.26,2025-02,1.104
SHP00035,2025-09-10,West,Air,1967.4,179.9,21.92,14,False,9166.52,2.55,2025-09,50.953
SHP00036,2025-12-08,South,Road,694.6,419.9,24.28,24,False,649.88,3.32,2025-12,1.548
SHP00037,2025-01-01,West,Rail,589.1,307.3,23.27,30,True,311.19,3.55,2025-01,1.013
SHP00038,2025-10-30,South,Road,575.3,40.1,25.19,24,False,535.13,3.65,2025-10,13.345
SHP00039,2025-02-23,Central,Road,636.2,412.4,19.76,24,True,671.99,4.45,2025-02,1.629
SHP00040,2025-03-31,North,Road,435.1,365.1,19.16,24,True,383.27,3.39,2025-03,1.05
SHP00041,2025-08-28,South,Road,291.4,258.4,24.08,24,False,237.75,4.07,2025-08,0.92
SHP00042,2025-03-04,South,Sea,1311.0,1166.2,58.76,50,False,330.89,3.96,2025-03,0.284
SHP00043,2025-01-23,East,Road,323.4,491.2,14.75,24,True,310.52,4.17,2025-01,0.632
SHP00044,2025-03-13,East,Road,539.3,117.7,22.78,24,True,538.85,3.79,2025-03,4.578
SHP00045,2025-03-16,East,Sea,523.8,243.0,61.53,50,False,151.65,3.07,2025-03,0.624
SHP00046,2025-02-20,North,Road,329.3,139.1,21.23,24,True,339.74,3.22,2025-02,2.442
SHP00047,2025-04-21,West,Air,3516.5,354.4,11.56,14,True,12628.71,4.47,2025-04,35.634
SHP00048,2025-10-04,North,Road,209.1,625.7,17.89,24,True,199.59,3.92,2025-10,0.319
SHP00049,2025-12-16,North,Road,374.3,158.9,22.13,24,True,322.49,3.95,2025-12,2.03
SHP00050,2025-12-31,North,Road,434.7,200.8,20.7,24,True,403.39,4.75,2025-12,2.009
SHP00051,2025-01-28,North,Road,484.7,199.1,21.56,24,True,452.56,3.64,2025-01,2.273
SHP00052,2025-04-21,North,Road,276.8,152.4,19.99,24,True,253.5,4.74,2025-04,1.663
SHP00053,2025-11-11,East,Air,5012.1,1410.7,9.88,14,True,18705.06,4.53,2025-11,13.259
SHP00054,2025-11-07,Central,Rail,543.1,325.5,12.36,30,True,288.02,4.49,2025-11,0.885
SHP00055,2025-07-22,Central,Road,584.9,459.8,21.91,24,True,564.66,4.27,2025-07,1.228
SHP00056,2025-11-16,East,Road,274.2,674.2,23.99,24,True,272.52,3.25,2025-11,0.404
SHP00057,2025-06-17,North,Road,356.5,619.6,18.34,24,True,301.38,4.24,2025-06,0.486
SHP00058,2025-03-17,West,Road,671.7,807.9,13.63,24,True,637.29,4.52,2025-03,0.789
SHP00059,2025-03-03,South,Sea,880.5,631.2,53.94,50,False,251.55,2.91,2025-03,0.399
SHP00060,2025-06-02,South,Sea,1166.6,279.4,68.75,50,False,300.48,3.86,2025-06,1.075
SHP00061,2025-01-15,South,Road,260.7,423.9,17.28,24,True,265.49,4.75,2025-01,0.626
SHP00062,2025-11-18,Central,Road,503.7,1676.9,27.76,24,False,489.44,3.21,2025-11,0.292
SHP00063,2025-05-10,West,Sea,1086.1,254.9,45.96,50,True,296.08,3.38,2025-05,1.162
SHP00064,2025-08-06,North,Rail,1440.0,642.5,24.64,30,True,864.1,3.27,2025-08,1.345
SHP00065,2025-04-16,East,Road,355.5,420.8,19.85,24,True,338.36,4.23,2025-04,0.804
SHP00066,2025-11-05,West,Road,279.9,258.3,17.78,24,True,270.83,3.49,2025-11,1.049
SHP00067,2025-12-30,South,Sea,999.5,50.0,43.94,50,True,221.15,3.79,2025-12,4.423
SHP00068,2025-02-18,Central,Road,196.8,517.7,14.37,24,True,182.29,4.09,2025-02,0.352
SHP00069,2025-07-30,North,Sea,571.6,149.0,36.5,50,True,147.53,4.17,2025-07,0.99
SHP00070,2025-04-23,South,Road,167.3,1508.5,11.79,24,True,233.94,5.0,2025-04,0.155
SHP00071,2025-03-28,South,Rail,548.8,288.8,24.16,30,True,282.91,4.93,2025-03,0.98
SHP00072,2025-08-17,Central,Sea,575.4,1014.2,19.49,50,True,150.45,5.0,2025-08,0.148
SHP00073,2025-08-11,North,Rail,546.4,328.2,27.14,30,True,351.22,3.37,2025-08,1.07
SHP00074,2025-07-14,South,Road,750.1,806.7,35.37,24,False,615.44,3.42,2025-07,0.763
SHP00075,2025-05-08,East,Road,185.8,1957.3,15.98,24,True,225.41,4.27,2025-05,0.115
SHP00076,2025-01-29,East,Air,890.8,118.8,6.0,14,True,3678.48,4.46,2025-01,30.964
SHP00077,2025-03-28,North,Sea,426.4,93.1,52.22,50,False,113.54,3.17,2025-03,1.22
SHP00078,2025-02-15,West,Road,236.1,4840.1,20.53,24,True,343.51,3.79,2025-02,0.071
SHP00079,2025-04-08,West,Road,438.5,175.8,16.4,24,True,343.82,4.53,2025-04,1.956
SHP00080,2025-03-14,North,Road,372.0,133.1,18.2,24,True,310.39,4.23,2025-03,2.332
SHP00081,2025-12-20,East,Rail,551.2,762.8,16.48,30,True,350.28,4.36,2025-12,0.459
SHP00082,2025-07-17,West,Sea,457.9,490.7,67.73,50,False,136.33,3.74,2025-07,0.278
SHP00083,2025-06-25,North,Rail,1081.8,130.9,49.63,30,False,570.79,2.42,2025-06,4.361
SHP00084,2025-06-20,West,Air,1141.3,1367.8,9.18,14,True,5228.37,4.29,2025-06,3.822
SHP00085,2025-11-07,South,Air,1793.0,271.6,10.37,14,True,7699.76,4.61,2025-11,28.35
SHP00086,2025-12-25,East,Sea,906.5,345.6,50.22,50,False,221.7,3.59,2025-12,0.641
SHP00087,2025-03-14,East,Air,1970.8,357.4,13.82,14,True,8593.34,3.6,2025-03,24.044
SHP00088,2025-03-13,North,Road,276.4,830.2,18.83,24,True,271.58,4.11,2025-03,0.327
SHP00089,2025-09-18,Central,Rail,764.8,3676.7,15.03,30,True,503.85,5.0,2025-09,0.137
SHP00090,2025-03-30,West,Road,1171.4,615.6,33.38,24,False,1264.56,2.66,2025-03,2.054
SHP00091,2025-02-07,East,Rail,470.5,284.6,31.49,30,False,263.54,3.21,2025-02,0.926
SHP00092,2025-12-15,South,Air,1231.6,400.4,7.48,14,True,3740.83,4.1,2025-12,9.343
SHP00093,2025-10-31,Central,Rail,866.1,2478.0,42.27,30,False,522.59,2.73,2025-10,0.211
SHP00094,2025-12-29,West,Sea,1100.1,1155.6,55.93,50,False,305.56,3.56,2025-12,0.264
SHP00095,2025-12-10,South,Sea,418.1,876.6,16.15,50,True,127.87,4.48,2025-12,0.146
SHP00096,2025-11-20,West,Road,695.5,326.1,20.75,24,True,662.12,3.63,2025-11,2.03
SHP00097,2025-01-07,South,Air,2120.7,214.8,8.57,14,True,8514.84,4.59,2025-01,39.641
SHP00098,2025-10-12,North,Sea,1134.4,267.4,51.56,50,False,293.69,4.23,2025-10,1.098
SHP00099,2025-09-19,West,Road,448.6,242.8,15.63,24,True,471.73,3.79,2025-09,1.943
SHP00100,2025-07-27,West,Road,207.1,140.6,13.75,24,True,198.23,5.0,2025-07,1.41
SHP00101,2025-08-10,East,Road,364.1,138.7,15.94,24,True,327.55,3.63,2025-08,2.362
SHP00102,2025-03-05,North,Road,271.9,2040.3,11.1,24,True,326.53,4.34,2025-03,0.16
SHP00103,2025-09-24,East,Road,361.3,217.2,15.76,24,True,341.54,4.56,2025-09,1.572
SHP00104,2025-10-16,East,Road,395.3,142.2,28.8,24,False,366.0,2.32,2025-10,2.574
SHP00105,2025-11-13,Central,Road,306.3,1061.7,21.96,24,True,316.22,3.92,2025-11,0.298
SHP00106,2025-11-10,West,Road,901.4,556.8,33.13,24,False,835.5,3.49,2025-11,1.501
SHP00107,2025-06-22,West,Road,856.9,266.6,36.09,24,False,757.17,1.78,2025-06,2.84
SHP00108,2025-02-04,North,Air,1954.9,2774.0,12.9,14,True,8668.3,3.64,2025-02,3.125
SHP00109,2025-01-20,North,Sea,283.2,371.5,54.99,50,False,86.9,5.0,2025-01,0.234
SHP00110,2025-08-31,East,Rail,787.1,1655.5,25.2,30,True,526.35,4.39,2025-08,0.318
SHP00111,2025-02-10,North,Rail,723.7,229.8,27.07,30,True,395.51,4.15,2025-02,1.721
SHP00112,2025-06-13,East,Road,324.2,142.6,16.4,24,True,323.55,4.25,2025-06,2.269
SHP00113,2025-06-20,South,Road,503.1,61.2,20.94,24,True,439.03,3.28,2025-06,7.174
SHP00114,2025-09-08,West,Road,158.3,762.4,17.3,24,True,179.78,4.04,2025-09,0.236
SHP00115,2025-10-03,North,Road,292.6,780.1,10.08,24,True,286.99,5.0,2025-10,0.368
SHP00116,2025-08-22,East,Road,472.1,184.2,25.56,24,False,394.58,3.22,2025-08,2.142
SHP00117,2025-05-25,North,Air,2550.0,832.7,6.74,14,True,10711.77,4.72,2025-05,12.864
SHP00118,2025-12-27,West,Road,431.5,474.7,22.99,24,True,434.49,3.93,2025-12,0.915
SHP00119,2025-11-20,Central,Road,259.6,996.9,22.09,24,True,273.11,4.46,2025-11,0.274
SHP00120,2025-03-30,Central,Road,557.6,290.7,23.87,24,True,473.85,4.26,2025-03,1.63
SHP00121,2025-09-24,West,Rail,273.4,2954.2,17.84,30,True,238.36,5.0,2025-09,0.081
SHP00122,2025-10-20,West,Road,643.7,425.5,27.19,24,False,514.15,3.39,2025-10,1.208
SHP00123,2025-04-27,South,Road,145.1,474.1,27.62,24,False,142.92,3.3,2025-04,0.301
SHP00124,2025-01-27,Central,Road,482.7,204.7,14.39,24,True,405.92,4.45,2025-01,1.983
SHP00125,2025-04-18,East,Road,577.4,536.2,18.0,24,True,538.5,4.2,2025-04,1.004
SHP00126,2025-05-21,West,Road,179.2,1419.0,12.32,24,True,196.87,5.0,2025-05,0.139
SHP00127,2025-06-03,Central,Road,480.8,114.2,25.99,24,False,462.39,3.12,2025-06,4.049
SHP00128,2025-02-18,West,Sea,358.3,684.0,29.21,50,True,107.89,4.77,2025-02,0.158
SHP00129,2025-09-11,North,Road,487.9,1214.5,23.42,24,True,423.42,3.53,2025-09,0.349
SHP00130,2025-03-09,East,Rail,449.4,1877.5,26.91,30,True,290.85,4.17,2025-03,0.155
SHP00131,2025-05-10,South,Road,837.2,149.8,21.75,24,True,711.32,3.61,2025-05,4.748
SHP00132,2025-10-18,West,Road,440.0,150.5,21.81,24,True,357.93,3.73,2025-10,2.378
SHP00133,2025-05-01,North,Rail,1452.0,655.2,27.7,30,True,823.6,2.67,2025-05,1.257
SHP00134,2025-08-19,North,Sea,502.4,879.0,23.91,50,True,155.3,4.79,2025-08,0.177
SHP00135,2025-09-06,East,Road,641.4,310.5,20.86,24,True,530.74,3.02,2025-09,1.709
SHP00136,2025-10-18,South,Road,510.6,856.4,18.5,24,True,481.41,4.3,2025-10,0.562
SHP00137,2025-07-25,West,Road,971.1,246.7,28.49,24,False,843.01,3.39,2025-07,3.417
SHP00138,2025-01-25,Central,Road,432.3,394.4,17.05,24,True,417.91,3.82,2025-01,1.06
SHP00139,2025-06-09,East,Road,473.2,501.5,12.07,24,True,463.28,4.86,2025-06,0.924
SHP00140,2025-11-25,West,Road,185.6,332.9,16.87,24,True,171.19,3.88,2025-11,0.514
SHP00141,2025-05-04,North,Rail,1000.5,128.1,23.3,30,True,531.62,4.34,2025-05,4.15
SHP00142,2025-05-13,West,Road,567.0,568.1,11.89,24,True,478.3,4.59,2025-05,0.842
SHP00143,2025-07-07,East,Road,361.0,246.8,15.61,24,True,331.51,4.32,2025-07,1.343
SHP00144,2025-02-11,South,Road,1054.8,284.1,32.9,24,False,1050.21,3.17,2025-02,3.697
SHP00145,2025-07-22,Central,Air,2202.0,233.9,20.61,14,False,9937.4,1.63,2025-07,42.486
SHP00146,2025-01-08,East,Road,376.2,1002.0,14.77,24,True,376.3,4.21,2025-01,0.376
SHP00147,2025-01-28,North,Road,435.4,195.9,30.63,24,False,376.86,2.66,2025-01,1.924
SHP00148,2025-12-26,East,Sea,217.2,196.7,26.15,50,True,61.38,3.85,2025-12,0.312
SHP00149,2025-09-15,North,Road,794.7,718.8,26.11,24,False,791.48,4.27,2025-09,1.101
SHP00150,2025-11-11,West,Sea,1494.7,290.5,45.21,50,True,343.19,2.79,2025-11,1.181
SHP00151,2025-09-25,North,Road,633.6,387.1,37.42,24,False,565.07,2.61,2025-09,1.46
SHP00152,2025-08-23,West,Road,457.4,897.6,21.42,24,True,393.05,4.04,2025-08,0.438
SHP00153,2025-12-19,West,Road,136.4,137.5,19.8,24,True,121.87,3.07,2025-12,0.886
SHP00154,2025-05-09,East,Rail,687.4,1287.9,22.16,30,True,416.05,4.44,2025-05,0.323
SHP00155,2025-03-07,South,Road,470.9,125.9,25.21,24,False,468.23,4.21,2025-03,3.719
SHP00156,2025-04-11,East,Road,282.8,109.4,14.9,24,True,250.12,4.24,2025-04,2.286
SHP00157,2025-01-20,West,Air,1157.2,575.1,4.59,14,True,4716.97,5.0,2025-01,8.202
SHP00158,2025-06-08,East,Air,1727.0,781.2,13.86,14,True,7079.67,3.22,2025-06,9.063
SHP00159,2025-04-23,West,Air,2406.4,663.8,7.67,14,True,9881.31,4.09,2025-04,14.886
SHP00160,2025-07-17,South,Rail,614.5,160.5,28.12,30,True,349.95,3.96,2025-07,2.18
SHP00161,2025-11-16,Central,Road,174.1,1841.4,17.95,24,True,189.86,4.41,2025-11,0.103
SHP00162,2025-11-22,East,Road,295.7,485.5,22.62,24,True,270.46,3.67,2025-11,0.557
SHP00163,2025-08-05,Central,Road,223.2,895.8,9.64,24,True,192.47,4.51,2025-08,0.215
SHP00164,2025-05-23,North,Sea,655.2,45.5,44.93,50,True,166.31,3.75,2025-05,3.655
SHP00165,2025-11-01,Central,Air,3101.1,582.6,10.13,14,True,13679.61,4.43,2025-11,23.48
SHP00166,2025-03-22,West,Road,388.7,274.8,15.05,24,True,390.95,4.88,2025-03,1.423
SHP00167,2025-02-26,West,Road,86.6,662.6,11.1,24,True,90.87,4.44,2025-02,0.137
SHP00168,2025-11-15,South,Rail,1623.5,411.0,28.13,30,True,900.98,2.75,2025-11,2.192
SHP00169,2025-03-07,Central,Road,388.5,556.6,22.57,24,True,377.47,3.78,2025-03,0.678
SHP00170,2025-11-03,Central,Road,262.5,527.9,18.85,24,True,240.61,3.82,2025-11,0.456
SHP00171,2025-09-25,North,Road,299.2,172.6,20.19,24,True,297.82,4.18,2025-09,1.725
SHP00172,2025-06-25,South,Sea,344.6,3981.1,54.71,50,False,192.52,3.43,2025-06,0.048
SHP00173,2025-01-21,West,Road,200.9,412.3,21.55,24,True,192.46,3.42,2025-01,0.467
SHP00174,2025-08-15,Central,Sea,1152.8,573.0,37.02,50,True,274.68,4.34,2025-08,0.479
SHP00175,2025-08-14,West,Road,338.0,307.0,15.88,24,True,298.17,4.38,2025-08,0.971
SHP00176,2025-12-04,East,Road,419.8,502.3,16.15,24,True,406.12,4.67,2025-12,0.809
SHP00177,2025-03-07,West,Road,717.0,580.2,23.78,24,True,620.82,3.26,2025-03,1.07
SHP00178,2025-01-21,West,Sea,849.3,329.7,27.4,50,True,200.67,4.77,2025-01,0.609
SHP00179,2025-04-01,Central,Air,2171.6,135.5,15.9,14,False,10511.46,2.68,2025-04,77.575
SHP00180,2025-09-27,South,Road,168.0,1308.7,10.03,24,True,185.85,4.64,2025-09,0.142
SHP00181,2025-10-02,Central,Road,489.8,784.4,25.62,24,False,444.75,3.76,2025-10,0.567
SHP00182,2025-08-10,North,Road,910.8,73.9,23.22,24,True,751.69,3.43,2025-08,10.172
SHP00183,2025-09-24,Central,Sea,712.6,667.3,40.98,50,True,171.35,3.66,2025-09,0.257
SHP00184,2025-11-28,Central,Rail,672.5,970.4,30.08,30,False,484.77,3.66,2025-11,0.5
SHP00185,2025-09-17,North,Road,606.1,1464.0,16.31,24,True,607.7,4.15,2025-09,0.415
SHP00186,2025-03-02,West,Sea,129.9,419.6,28.46,50,True,44.41,4.17,2025-03,0.106
SHP00187,2025-11-08,North,Road,388.4,330.9,13.0,24,True,381.34,5.0,2025-11,1.152
SHP00188,2025-04-16,Central,Road,1113.6,260.7,34.0,24,False,984.43,3.14,2025-04,3.776
SHP00189,2025-09-24,South,Road,359.8,302.7,12.54,24,True,361.6,4.53,2025-09,1.195
SHP00190,2025-10-28,Central,Road,286.0,679.4,20.32,24,True,251.92,4.32,2025-10,0.371
SHP00191,2025-08-27,North,Air,2446.4,842.8,5.34,14,True,10520.58,5.0,2025-08,12.483
SHP00192,2025-09-23,North,Road,302.9,469.6,23.08,24,True,246.93,3.2,2025-09,0.526
SHP00193,2025-09-25,North,Road,397.4,1337.2,22.75,24,True,426.98,3.73,2025-09,0.319
SHP00194,2025-04-17,East,Road,120.4,69.2,20.01,24,True,114.2,4.92,2025-04,1.65
SHP00195,2025-02-17,South,Road,261.0,1412.6,16.15,24,True,261.88,4.25,2025-02,0.185
SHP00196,2025-07-21,East,Road,328.7,280.4,14.17,24,True,314.76,5.0,2025-07,1.123
SHP00197,2025-07-23,South,Road,760.4,1095.8,19.31,24,True,683.27,3.58,2025-07,0.624
SHP00198,2025-12-29,North,Sea,710.1,413.7,36.8,50,True,187.55,3.63,2025-12,0.453
SHP00199,2025-03-28,North,Air,1628.9,668.4,7.79,14,True,6987.33,4.56,2025-03,10.454
SHP00200,2025-12-09,East,Road,393.1,396.8,14.35,24,True,345.88,3.52,2025-12,0.872
SHP00201,2025-04-02,South,Road,294.0,129.6,15.96,24,True,284.59,4.46,2025-04,2.196
SHP00202,2025-01-08,North,Air,1632.5,157.0,10.93,14,True,6703.58,4.08,2025-01,42.698
SHP00203,2025-07-03,East,Road,289.8,506.9,13.74,24,True,282.23,4.78,2025-07,0.557
SHP00204,2025-04-12,Central,Road,324.4,398.6,19.61,24,True,334.57,5.0,2025-04,0.839
SHP00205,2025-06-24,East,Rail,1047.8,1375.3,34.54,30,False,532.94,3.64,2025-06,0.388
SHP00206,2025-01-13,Central,Road,791.6,338.5,27.98,24,False,780.61,3.84,2025-01,2.306
SHP00207,2025-02-04,Central,Road,582.6,3028.3,18.03,24,True,665.14,4.62,2025-02,0.22
SHP00208,2025-05-08,South,Road,511.9,641.3,26.02,24,False,508.88,3.64,2025-05,0.794
SHP00209,2025-06-22,West,Road,426.8,170.1,33.82,24,False,413.65,2.61,2025-06,2.432
SHP00210,2025-08-03,Central,Road,469.7,603.4,17.31,24,True,428.85,4.12,2025-08,0.711
SHP00211,2025-11-09,Central,Road,559.3,714.7,18.06,24,True,575.33,3.79,2025-11,0.805
SHP00212,2025-02-22,West,Sea,882.3,491.4,75.52,50,False,269.21,2.9,2025-02,0.548
SHP00213,2025-03-16,East,Road,752.2,394.2,20.09,24,True,636.57,3.66,2025-03,1.615
SHP00214,2025-11-21,North,Road,155.5,753.3,19.11,24,True,194.2,4.16,2025-11,0.258
SHP00215,2025-07-05,Central,Rail,359.5,364.6,21.3,30,True,216.37,4.26,2025-07,0.593
SHP00216,2025-01-11,Central,Sea,486.6,277.8,17.3,50,True,121.36,4.92,2025-01,0.437
SHP00217,2025-02-10,South,Road,438.2,272.0,17.13,24,True,421.92,3.72,2025-02,1.551
SHP00218,2025-05-17,West,Air,1917.0,311.8,15.78,14,False,7660.06,3.29,2025-05,24.567
SHP00219,2025-01-28,Central,Road,1009.9,99.6,38.49,24,False,970.96,2.44,2025-01,9.749
SHP00220,2025-03-15,East,Road,957.1,994.1,26.64,24,False,898.45,3.39,2025-03,0.904
SHP00221,2025-08-18,East,Road,223.9,376.3,12.86,24,True,222.12,4.4,2025-08,0.59
SHP00222,2025-05-14,South,Road,815.9,496.9,30.95,24,False,668.08,2.23,2025-05,1.344
SHP00223,2025-08-16,South,Air,1320.9,953.5,22.18,14,False,6464.52,2.73,2025-08,6.78
SHP00224,2025-03-20,West,Road,448.6,282.5,15.47,24,True,358.05,4.43,2025-03,1.267
SHP00225,2025-01-17,East,Sea,518.9,2734.7,63.1,50,False,217.27,2.9,2025-01,0.079
SHP00226,2025-11-17,North,Rail,474.6,148.4,20.3,30,True,299.03,4.6,2025-11,2.015
SHP00227,2025-08-14,South,Road,349.0,302.5,14.89,24,True,319.17,4.39,2025-08,1.055
SHP00228,2025-01-06,West,Road,145.9,343.0,15.29,24,True,140.66,3.64,2025-01,0.41
SHP00229,2025-03-30,North,Sea,572.3,603.7,42.89,50,True,167.14,3.54,2025-03,0.277
SHP00230,2025-04-04,West,Road,735.6,371.3,20.87,24,True,729.58,4.63,2025-04,1.965
SHP00231,2025-09-12,North,Rail,1153.6,304.4,34.93,30,False,632.94,2.78,2025-09,2.079
SHP00232,2025-01-10,South,Sea,891.1,351.3,81.78,50,False,228.69,4.3,2025-01,0.651
SHP00233,2025-04-24,East,Rail,273.2,87.0,20.14,30,True,172.55,4.54,2025-04,1.983
SHP00234,2025-05-29,South,Sea,913.6,151.9,56.21,50,False,264.67,4.28,2025-05,1.742
SHP00235,2025-08-09,South,Road,418.0,1436.5,16.3,24,True,418.87,3.85,2025-08,0.292
SHP00236,2025-10-10,East,Road,218.9,113.8,7.99,24,True,198.99,4.66,2025-10,1.749
SHP00237,2025-12-23,West,Air,3144.6,81.4,14.71,14,False,10506.09,3.18,2025-12,129.067
SHP00238,2025-12-09,North,Road,545.1,236.4,14.93,24,True,569.86,4.81,2025-12,2.411
SHP00239,2025-09-29,West,Road,446.9,292.1,10.28,24,True,372.46,4.8,2025-09,1.275
SHP00240,2025-04-21,North,Road,247.9,645.7,16.28,24,True,255.09,3.53,2025-04,0.395
SHP00241,2025-07-17,West,Air,2014.7,170.6,11.87,14,True,9199.54,4.47,2025-07,53.925
SHP00242,2025-03-17,Central,Rail,917.2,589.6,28.71,30,True,540.48,4.17,2025-03,0.917
SHP00243,2025-03-19,West,Road,120.5,628.8,8.98,24,True,130.39,4.07,2025-03,0.207
SHP00244,2025-05-27,West,Sea,544.4,2074.1,42.55,50,True,189.99,3.47,2025-05,0.092
SHP00245,2025-04-24,Central,Road,340.9,753.0,10.12,24,True,349.74,4.78,2025-04,0.464
SHP00246,2025-02-28,South,Road,277.9,102.5,16.23,24,True,250.1,3.95,2025-02,2.44
SHP00247,2025-09-05,South,Rail,582.8,256.5,31.75,30,False,345.86,3.93,2025-09,1.348
SHP00248,2025-08-07,Central,Road,390.4,317.2,14.58,24,True,322.24,4.53,2025-08,1.016
SHP00249,2025-08-07,East,Road,482.4,3672.1,33.83,24,False,556.76,2.43,2025-08,0.152
SHP00250,2025-12-18,North,Sea,488.9,315.9,64.26,50,False,140.26,2.61,2025-12,0.444
SHP00251,2025-01-25,West,Road,547.6,101.2,23.06,24,True,561.94,4.13,2025-01,5.553
SHP00252,2025-11-26,North,Rail,898.1,348.4,42.96,30,False,530.49,2.36,2025-11,1.523
SHP00253,2025-02-10,North,Road,444.4,289.3,10.05,24,True,465.88,5.0,2025-02,1.61
SHP00254,2025-11-10,South,Air,2375.1,672.6,6.2,14,True,11359.05,4.55,2025-11,16.888
SHP00255,2025-12-24,East,Rail,270.4,145.7,26.73,30,True,147.27,4.56,2025-12,1.011
SHP00256,2025-07-01,West,Air,1291.0,417.4,11.56,14,True,5092.88,3.32,2025-07,12.201
SHP00257,2025-12-01,Central,Road,315.3,1375.2,22.25,24,True,295.0,3.89,2025-12,0.215
SHP00258,2025-07-26,North,Sea,508.3,81.8,46.01,50,True,137.74,3.84,2025-07,1.684
SHP00259,2025-03-24,South,Air,1950.5,351.3,9.16,14,True,8733.28,4.59,2025-03,24.86
SHP00260,2025-11-07,North,Road,211.3,191.9,11.08,24,True,203.49,4.94,2025-11,1.06
SHP00261,2025-04-28,North,Sea,876.2,1223.3,30.64,50,True,246.04,4.91,2025-04,0.201
SHP00262,2025-02-14,West,Sea,499.4,62.4,23.9,50,True,124.47,3.43,2025-02,1.995
SHP00263,2025-07-20,North,Road,634.0,922.1,21.67,24,True,587.9,3.72,2025-07,0.638
SHP00264,2025-10-16,North,Road,299.9,222.6,17.82,24,True,275.72,4.27,2025-10,1.239
SHP00265,2025-09-02,East,Road,665.7,1042.8,19.6,24,True,634.74,3.86,2025-09,0.609
SHP00266,2025-08-29,North,Rail,423.6,873.6,31.51,30,False,264.56,4.12,2025-08,0.303
