shipment_id,order_date,origin_city,destination_city,carrier,distance_km,weight_kg,delivery_time_days,shipping_cost_inr,status,cost_per_km,order_month,is_delayed,distance_km_minmax,weight_kg_minmax,shipping_cost_inr_minmax,delivery_time_days_minmax,distance_km_zscore,weight_kg_zscore,shipping_cost_inr_zscore,delivery_time_days_zscore
SHP10982,2024-12-20,Ahmedabad,Nagpur,FedEx,902.58,4.21,4.45,3785.06,Delivered,4.19,12,0,0.6175,0.0984,0.4977,0.6506,0.8465,-1.1475,0.2569,1.3616
SHP10574,2024-05-14,Kolkata,Bengaluru,Blue Dart,735.86,26.59,2.76,4459.95,Delayed,6.06,5,1,0.5015,0.6619,0.5896,0.3722,0.284,1.0798,0.7034,0.1247
SHP10434,2024-06-04,Nagpur,Kolkata,DHL,15.0,23.39,1.75,378.72,In Transit,25.25,6,0,0.0,0.5814,0.0338,0.2059,-2.1479,0.7613,-1.9963,-0.6145
SHP10027,2024-08-22,Ahmedabad,Bengaluru,Blue Dart,755.53,13.89,3.34,3175.39,Delivered,4.2,8,0,0.5152,0.3422,0.4147,0.4678,0.3504,-0.1841,-0.1464,0.5492
SHP10998,2024-10-24,Jaipur,Hyderabad,FedEx,719.37,21.66,1.08,3502.15,Delivered,4.87,10,0,0.49,0.5378,0.4592,0.0955,0.2284,0.5891,0.0698,-1.1048
SHP10119,2024-02-27,Chennai,Mumbai,Blue Dart,540.93,13.575,1.17,3022.05,Delivered,5.59,2,0,0.3659,0.3342,0.3938,0.1104,-0.3736,-0.2155,-0.2478,-1.039
SHP10108,2024-02-19,Chennai,Pune,UPS,603.89,34.69,1.77,2646.83,Delayed,4.38,2,1,0.4097,0.8659,0.3427,0.2092,-0.1612,1.8859,-0.496,-0.5998
SHP10769,2024-12-25,Mumbai,Hyderabad,UPS,523.96,12.88,1.01,3034.09,Delivered,5.79,12,0,0.3541,0.3167,0.3954,0.084,-0.4308,-0.2847,-0.2398,-1.1561
SHP10837,2024-10-21,Bengaluru,Kolkata,FedEx,547.35,21.47,4.94,3361.08,Delivered,6.14,10,0,0.3704,0.533,0.44,0.7313,-0.3519,0.5702,-0.0235,1.7203
SHP10846,2024-09-20,Jaipur,Hyderabad,Blue Dart,1275.08,14.31,5.97,6989.66,In Transit,5.48,9,0,0.8766,0.3528,0.9341,0.901,2.1031,-0.1423,2.3767,2.4741
SHP10986,2024-05-24,Pune,Mumbai,Blue Dart,1105.73,22.28,6.12,6457.19,Delivered,5.84,5,0,0.7588,0.5534,0.8616,0.9257,1.5318,0.6508,2.0245,2.5839
SHP10824,2024-01-05,Chennai,Delhi,DHL,967.57,18.89,3.75,5132.02,Delivered,5.3,1,0,0.6627,0.4681,0.6811,0.5353,1.0657,0.3135,1.1479,0.8493
SHP10756,2024-08-06,Pune,Ahmedabad,DHL,171.84,18.48,0.84,1342.33,Delivered,7.81,8,0,0.1091,0.4577,0.165,0.056,-1.6188,0.2727,-1.3589,-1.2805
SHP10877,2024-02-13,Mumbai,Hyderabad,FedEx,805.37,9.53,3.3,4501.54,In Transit,5.59,2,0,0.5499,0.2324,0.5953,0.4612,0.5185,-0.618,0.7309,0.52
SHP10274,2024-03-21,Kolkata,Jaipur,Delhivery,713.26,11.59,3.16,4192.35,Delivered,5.88,3,0,0.4858,0.2843,0.5532,0.4381,0.2078,-0.413,0.5263,0.4175
SHP10200,2024-03-15,Bengaluru,Pune,UPS,82.05,15.71,0.5,699.45,Delivered,8.52,3,0,0.0466,0.388,0.0775,0.0,-1.9217,-0.003,-1.7841,-1.5293
SHP10078,2024-02-15,Ahmedabad,Mumbai,Blue Dart,752.24,2.09,1.73,4008.59,Delivered,5.33,2,0,0.5129,0.0451,0.5281,0.2026,0.3393,-1.3585,0.4048,-0.6291
SHP10658,2024-12-07,Jaipur,Bengaluru,UPS,419.61,6.86,0.58,2478.11,Delayed,5.91,12,1,0.2815,0.1652,0.3197,0.0132,-0.7829,-0.8838,-0.6076,-1.4708
SHP10262,2024-01-25,Ahmedabad,Hyderabad,FedEx,1073.05,16.79,6.45,5255.72,In Transit,4.9,1,0,0.7361,0.4152,0.698,0.98,1.4216,0.1045,1.2297,2.8254
SHP10663,2024-08-16,Chennai,Kolkata,Blue Dart,182.47,21.23,0.5,1338.19,Delayed,7.33,8,1,0.1165,0.527,0.1645,0.0,-1.5829,0.5463,-1.3616,-1.5293
SHP10578,2024-09-15,Mumbai,Nagpur,Blue Dart,656.09,5.47,3.06,3886.78,Delivered,5.92,9,0,0.446,0.1302,0.5115,0.4217,0.0149,-1.0221,0.3242,0.3443
SHP10156,2024-08-17,Delhi,Ahmedabad,FedEx,143.8,5.85,1.42,729.68,Delivered,5.07,8,0,0.0896,0.1397,0.0816,0.1515,-1.7134,-0.9843,-1.7641,-0.856
SHP10090,2024-09-28,Delhi,Jaipur,DHL,316.67,4.52,2.51,1597.86,Delayed,5.05,9,1,0.2099,0.1063,0.1998,0.3311,-1.1302,-1.1166,-1.1899,-0.0582
SHP10101,2024-09-21,Hyderabad,Kolkata,Blue Dart,911.17,35.19,3.53,5200.69,Delivered,5.71,9,0,0.6235,0.8785,0.6905,0.4991,0.8754,1.9356,1.1933,0.6883
SHP10094,2024-05-11,Mumbai,Jaipur,UPS,685.77,8.26,2.57,3456.52,Delivered,5.04,5,0,0.4667,0.2004,0.453,0.341,0.115,-0.7444,0.0396,-0.0143
SHP10521,2024-11-07,Ahmedabad,Bengaluru,FedEx,504.59,27.87,3.6,3617.05,Delayed,7.17,11,1,0.3406,0.6942,0.4748,0.5106,-0.4962,1.2071,0.1458,0.7395
SHP10546,2024-01-20,Nagpur,Jaipur,Blue Dart,570.78,5.85,0.86,2449.95,In Transit,4.29,1,0,0.3867,0.1397,0.3159,0.0593,-0.2729,-0.9843,-0.6262,-1.2659
SHP10041,2024-03-30,Mumbai,Jaipur,FedEx,806.35,10.77,1.23,4584.18,Delayed,5.69,3,1,0.5505,0.2636,0.6065,0.1202,0.5218,-0.4946,0.7855,-0.9951
SHP10590,2024-07-05,Bengaluru,Nagpur,FedEx,693.87,11.33,3.74,3090.71,Delivered,4.45,7,0,0.4723,0.2777,0.4031,0.5337,0.1424,-0.4389,-0.2024,0.842
SHP10870,2024-06-05,Jaipur,Delhi,FedEx,694.8,10.61,2.22,4198.12,Returned,6.04,6,1,0.4729,0.2596,0.5539,0.2833,0.1455,-0.5106,0.5302,-0.2705
SHP10436,2024-09-17,Kolkata,Nagpur,DHL,978.84,7.18,3.92,3937.63,Delivered,4.02,9,0,0.6705,0.1732,0.5185,0.5633,1.1037,-0.8519,0.3579,0.9737
SHP10034,2024-09-22,Mumbai,Bengaluru,FedEx,285.03,7.53,2.3,1533.51,Delivered,5.38,9,0,0.1879,0.182,0.1911,0.2965,-1.2369,-0.8171,-1.2324,-0.2119
SHP10175,2024-09-06,Mumbai,Jaipur,Blue Dart,988.21,14.37,4.03,5351.18,In Transit,5.42,9,0,0.6771,0.3543,0.711,0.5814,1.1354,-0.1364,1.2929,1.0543
SHP10035,2024-09-23,Jaipur,Hyderabad,Blue Dart,1134.86,20.41,4.91,5600.94,In Transit,4.94,9,0,0.7791,0.5063,0.745,0.7264,1.6301,0.4647,1.4581,1.6983
SHP10148,2024-05-14,Delhi,Ahmedabad,Blue Dart,677.22,40.01625,1.98,3679.14,Delayed,5.43,5,1,0.4607,1.0,0.4833,0.2438,0.0862,2.4159,0.1869,-0.4461
SHP10779,2024-06-21,Delhi,Bengaluru,FedEx,508.97,4.69,2.98,2222.99,In Transit,4.37,6,0,0.3437,0.1105,0.285,0.4085,-0.4814,-1.0997,-0.7764,0.2858
SHP10664,2024-04-26,Chennai,Ahmedabad,FedEx,651.66,4.97,1.95,3300.9300000000003,Delivered,5.07,4,0,0.4429,0.1176,0.4318,0.2388,-0.0,-1.0719,-0.0633,-0.4681
SHP10688,2024-11-21,Bengaluru,Delhi,Delhivery,873.32,9.82,3.56,4543.23,Delayed,5.2,11,1,0.5971,0.2397,0.6009,0.504,0.7478,-0.5892,0.7584,0.7103
SHP10931,2024-12-13,Ahmedabad,Bengaluru,FedEx,361.88,10.39,1.16,1916.54,Delivered,5.3,12,0,0.2413,0.2541,0.2432,0.1087,-0.9776,-0.5325,-0.9791,-1.0463
SHP10814,2024-05-11,Jaipur,Chennai,Delhivery,688.18,22.77,3.12,4472.0,Cancelled,6.5,5,0,0.4683,0.5658,0.5912,0.4315,0.1232,0.6996,0.7113,0.3882
SHP10311,2024-01-25,Mumbai,Hyderabad,DHL,651.24,16.16,1.76,3942.44,In Transit,6.05,1,0,0.4426,0.3993,0.5191,0.2075,-0.0015,0.0418,0.361,-0.6071
SHP10703,2024-12-21,Kolkata,Bengaluru,Blue Dart,400.79,1.45,1.74,2393.64,Delivered,5.97,12,0,0.2684,0.029,0.3082,0.2042,-0.8464,-1.4222,-0.6635,-0.6218
SHP10527,2024-05-27,Kolkata,Delhi,FedEx,506.5,5.82,1.79,2792.72,Delivered,5.51,5,0,0.3419,0.139,0.3626,0.2125,-0.4897,-0.9873,-0.3995,-0.5852
SHP10746,2024-04-04,Bengaluru,Ahmedabad,Blue Dart,517.81,18.71,2.76,2476.89,Delayed,4.78,4,1,0.3498,0.4635,0.3195,0.3722,-0.4516,0.2955,-0.6084,0.1247
SHP10640,2024-05-02,Hyderabad,Jaipur,Delhivery,820.01,30.35,3.83,3837.7,In Transit,4.68,5,0,0.56,0.7566,0.5049,0.5485,0.5679,1.454,0.2918,0.9079
SHP10577,2024-11-18,Kolkata,Ahmedabad,UPS,1081.18,21.36,3.93,4538.34,Delivered,4.2,11,0,0.7417,0.5303,0.6003,0.565,1.449,0.5593,0.7552,0.9811
SHP10496,2024-05-15,Mumbai,Nagpur,Delhivery,319.36,6.44,1.89,1704.2,Cancelled,5.34,5,0,0.2117,0.1546,0.2143,0.2289,-1.1211,-0.9256,-1.1195,-0.512
SHP10271,2024-10-11,Kolkata,Chennai,FedEx,578.11,17.48,0.54,3464.44,In Transit,5.99,10,0,0.3918,0.4326,0.454,0.0066,-0.2482,0.1731,0.0448,-1.5001
SHP10940,2024-05-28,Chennai,Hyderabad,FedEx,159.4,4.79,1.69,742.88,Delayed,4.66,5,1,0.1005,0.1131,0.0834,0.196,-1.6607,-1.0898,-1.7554,-0.6584
SHP10017,2024-03-22,Jaipur,Nagpur,UPS,453.56,18.49,0.54,2991.11,Cancelled,6.59,3,0,0.3051,0.458,0.3896,0.0066,-0.6683,0.2736,-0.2683,-1.5001
SHP10207,2024-12-13,Pune,Bengaluru,FedEx,351.7,21.38,0.5,1637.7,Delivered,4.66,12,0,0.2342,0.5308,0.2053,0.0,-1.012,0.5613,-1.1635,-1.5293
SHP10340,2024-05-08,Hyderabad,Kolkata,Blue Dart,546.45,0.37,1.66,2367.19,Delivered,4.33,5,0,0.3697,0.0018,0.3046,0.1911,-0.355,-1.5297,-0.681,-0.6803
SHP10244,2024-09-22,Kolkata,Hyderabad,FedEx,379.69,37.13,2.63,2592.81,Delivered,6.83,9,0,0.2537,0.9273,0.3353,0.3508,-0.9176,2.1287,-0.5317,0.0296
SHP10650,2024-05-05,Bengaluru,Chennai,FedEx,1177.43,14.1,3.11,6191.84,Delivered,5.26,5,0,0.8087,0.3475,0.8255,0.4299,1.7737,-0.1632,1.849,0.3809
SHP10241,2024-05-18,Ahmedabad,Pune,FedEx,190.14,8.67,0.5,1124.92,In Transit,5.92,5,0,0.1218,0.2107,0.1354,0.0,-1.557,-0.7036,-1.5027,-1.5293
SHP10065,2024-02-13,Ahmedabad,Delhi,DHL,823.87,19.52,5.35,3808.55,Delivered,4.62,2,0,0.5627,0.4839,0.5009,0.7988,0.5809,0.3762,0.2725,2.0204
SHP10358,2024-03-30,Kolkata,Pune,DHL,616.35,36.83,2.82,3552.23,In Transit,5.76,3,0,0.4184,0.9198,0.466,0.3821,-0.1192,2.0988,0.1029,0.1687
SHP10314,2024-09-26,Kolkata,Mumbai,FedEx,309.87,32.3,1.83,1952.23,Delayed,6.3,9,1,0.2051,0.8057,0.2481,0.2191,-1.1531,1.648,-0.9555,-0.5559
SHP10560,2024-12-12,Hyderabad,Ahmedabad,DHL,601.89,3.43,2.545,2347.38,In Transit,3.9,12,0,0.4083,0.0788,0.3019,0.3368,-0.1679,-1.2251,-0.6941,-0.0326
SHP10191,2024-01-17,Delhi,Chennai,DHL,512.96,14.41,0.99,3110.58,In Transit,6.06,1,0,0.3464,0.3553,0.4058,0.0807,-0.468,-0.1324,-0.1892,-1.1707
SHP10368,2024-09-03,Kolkata,Hyderabad,DHL,372.18,30.44,2.68,2340.68,Delivered,6.29,9,0,0.2485,0.7589,0.301,0.3591,-0.9429,1.4629,-0.6985,0.0662
SHP10754,2024-06-26,Chennai,Kolkata,UPS,976.74,15.63,3.91,5010.96,Delivered,5.13,6,0,0.6691,0.386,0.6646,0.5617,1.0967,-0.011,1.0678,0.9664
SHP10652,2024-10-27,Hyderabad,Bengaluru,FedEx,1022.64,10.8,3.89,4023.77,Delivered,3.93,10,0,0.701,0.2644,0.5302,0.5584,1.2515,-0.4917,0.4148,0.9518
SHP10223,2024-12-27,Jaipur,Pune,UPS,677.24,20.61,2.25,3938.31,Delivered,5.82,12,0,0.4607,0.5114,0.5186,0.2882,0.0863,0.4846,0.3583,-0.2485
SHP10186,2024-06-03,Jaipur,Nagpur,FedEx,314.8,18.09,1.48,1807.35,Delivered,5.74,6,0,0.2086,0.4479,0.2284,0.1614,-1.1365,0.2338,-1.0513,-0.8121
SHP10180,2024-02-13,Mumbai,Hyderabad,Blue Dart,261.4,39.86,0.5,2018.82,In Transit,7.72,2,0,0.1714,0.9961,0.2572,0.0,-1.3166,2.4004,-0.9114,-1.5293
SHP10268,2024-01-11,Mumbai,Kolkata,DHL,603.07,38.46,4.8,3012.22,Delivered,4.99,1,0,0.4091,0.9608,0.3924,0.7083,-0.164,2.2611,-0.2543,1.6178
SHP10825,2024-01-09,Hyderabad,Jaipur,DHL,596.92,7.09,1.37,3179.16,Cancelled,5.33,1,0,0.4048,0.171,0.4152,0.1433,-0.1847,-0.8609,-0.1439,-0.8926
SHP10582,2024-09-27,Jaipur,Nagpur,Blue Dart,846.1,19.47,1.88,3321.03,Delivered,3.93,9,0,0.5782,0.4827,0.4345,0.2273,0.6559,0.3712,-0.05,-0.5193
SHP10345,2024-12-28,Nagpur,Chennai,DHL,965.56,3.01,5.53,3935.63,Delivered,4.08,12,0,0.6613,0.0682,0.5182,0.8285,1.0589,-1.2669,0.3565,2.1521
SHP10795,2024-05-20,Kolkata,Ahmedabad,Blue Dart,827.19,20.95,1.62,4458.73,Delivered,5.39,5,0,0.565,0.5199,0.5894,0.1845,0.5921,0.5185,0.7026,-0.7096
SHP10950,2024-09-27,Nagpur,Hyderabad,FedEx,689.36,40.01625,2.74,4718.82,Delivered,6.85,9,0,0.4692,1.0,0.6249,0.369,0.1272,2.4159,0.8746,0.1101
SHP10699,2024-09-23,Nagpur,Ahmedabad,Blue Dart,339.95,32.84,0.52,2296.34,In Transit,6.75,9,0,0.2261,0.8193,0.295,0.0033,-1.0516,1.7018,-0.7278,-1.5147
SHP10429,2024-07-31,Jaipur,Chennai,FedEx,861.39,5.67,4.05,3112.93,Delivered,3.61,7,0,0.5888,0.1352,0.4062,0.5847,0.7075,-1.0022,-0.1877,1.0689
SHP10790,2024-01-15,Nagpur,Mumbai,UPS,389.18,20.02,0.5,2074.3,Delivered,5.33,1,0,0.2603,0.4965,0.2647,0.0,-0.8855,0.4259,-0.8747,-1.5293
SHP10971,2024-05-31,Ahmedabad,Chennai,Blue Dart,682.47,25.84,3.71,4099.89,Delivered,6.01,5,0,0.4644,0.6431,0.5406,0.5287,0.1039,1.0051,0.4652,0.82
SHP10812,2024-05-30,Hyderabad,Ahmedabad,Delhivery,210.35,13.575,1.46,1447.31,Delivered,6.88,5,0,0.1359,0.3342,0.1793,0.1581,-1.4888,-0.2155,-1.2894,-0.8267
SHP10806,2024-04-21,Pune,Kolkata,Blue Dart,590.59,40.01625,1.43,3518.5,Delivered,5.96,4,0,0.4004,1.0,0.4614,0.1532,-0.2061,2.4159,0.0806,-0.8487
SHP10408,2024-07-07,Hyderabad,Jaipur,DHL,840.41,11.66,2.9,4231.89,Delayed,5.04,7,1,0.5742,0.286,0.5585,0.3953,0.6367,-0.4061,0.5525,0.2272
SHP10154,2024-10-05,Mumbai,Jaipur,Blue Dart,1043.61,13.575,1.42,6218.31,Delayed,5.96,10,1,0.7156,0.3342,0.8291,0.1515,1.3222,-0.2155,1.8665,-0.856
SHP10581,2024-01-08,Nagpur,Delhi,DHL,662.71,10.15,3.31,3305.16,Delivered,4.99,1,0,0.4506,0.248,0.4323,0.4628,0.0372,-0.5563,-0.0605,0.5273
SHP10013,2024-01-09,Jaipur,Kolkata,FedEx,236.99,21.03,0.5,1529.61,Delivered,6.45,1,0,0.1544,0.522,0.1905,0.0,-1.399,0.5264,-1.235,-1.5293
SHP10680,2024-10-17,Jaipur,Mumbai,FedEx,1007.16,9.57,3.04,6091.63,Delivered,6.05,10,0,0.6903,0.2334,0.8118,0.4184,1.1993,-0.6141,1.7827,0.3297
SHP10481,2024-01-12,Ahmedabad,Chennai,Delhivery,626.49,11.48,1.28,2808.02,Delivered,4.48,1,0,0.4254,0.2815,0.3646,0.1285,-0.0849,-0.424,-0.3894,-0.9585
SHP10962,2024-12-25,Pune,Mumbai,FedEx,513.34,14.4,1.48,3143.18,In Transit,6.12,12,0,0.3467,0.355,0.4103,0.1614,-0.4667,-0.1334,-0.1677,-0.8121
SHP10762,2024-06-15,Mumbai,Chennai,UPS,792.65,8.61,2.545,4037.68,In Transit,5.09,6,0,0.541,0.2092,0.5321,0.3368,0.4756,-0.7096,0.424,-0.0326
SHP10692,2024-12-01,Kolkata,Pune,Delhivery,579.02,15.57,2.72,2307.55,Delivered,3.99,12,0,0.3924,0.3845,0.2965,0.3657,-0.2451,-0.0169,-0.7204,0.0955
SHP10879,2024-11-09,Delhi,Chennai,Delhivery,256.94,8.33,0.5,1216.43,Delayed,4.73,11,1,0.1683,0.2022,0.1479,0.0,-1.3317,-0.7375,-1.4422,-1.5293
SHP10727,2024-02-23,Ahmedabad,Pune,DHL,672.14,11.46,2.94,4116.16,Delivered,6.12,2,0,0.4572,0.281,0.5428,0.4019,0.0691,-0.426,0.4759,0.2565
SHP10873,2024-05-09,Kolkata,Pune,UPS,594.32,33.66,1.63,3538.91,Delivered,5.95,5,0,0.403,0.84,0.4642,0.1861,-0.1935,1.7834,0.0941,-0.7023
SHP10467,2024-09-10,Chennai,Kolkata,Blue Dart,615.3,15.39,1.32,3604.47,Delivered,5.86,9,0,0.4176,0.3799,0.4731,0.1351,-0.1227,-0.0349,0.1375,-0.9292
SHP10306,2024-04-06,Kolkata,Nagpur,Blue Dart,479.99,7.82,0.5,2970.23,Delivered,6.19,4,0,0.3235,0.1893,0.3867,0.0,-0.5792,-0.7882,-0.2821,-1.5293
SHP10267,2024-07-23,Delhi,Nagpur,Delhivery,1012.23,10.21,2.545,5052.5,Delayed,4.99,7,1,0.6938,0.2495,0.6703,0.3368,1.2164,-0.5504,1.0953,-0.0326
SHP10059,2024-10-22,Ahmedabad,Chennai,UPS,574.24,17.45,2.0,3458.62,In Transit,6.02,10,0,0.3891,0.4318,0.4532,0.2471,-0.2612,0.1701,0.041,-0.4315
SHP10882,2024-07-12,Pune,Bengaluru,Delhivery,474.44,34.03,0.5,2868.55,Delivered,6.05,7,0,0.3196,0.8493,0.3729,0.0,-0.5979,1.8202,-0.3493,-1.5293
SHP10956,2024-11-26,Delhi,Pune,DHL,1042.84,21.54,3.82,6456.26,Delivered,6.19,11,0,0.7151,0.5348,0.8615,0.5468,1.3196,0.5772,2.0239,0.9006
SHP10189,2024-11-23,Pune,Bengaluru,FedEx,1073.75,26.95,4.09,6676.26,Delivered,6.22,11,0,0.7366,0.671,0.8914,0.5913,1.4239,1.1156,2.1694,1.0982
SHP10607,2024-08-09,Nagpur,Jaipur,Blue Dart,722.91,10.35,3.12,2906.27,Delivered,4.02,8,0,0.4925,0.253,0.378,0.4315,0.2403,-0.5364,-0.3244,0.3882
SHP10120,2024-09-10,Hyderabad,Nagpur,Blue Dart,775.24,3.82,3.73,2765.74,Cancelled,3.57,9,0,0.5289,0.0886,0.3589,0.532,0.4169,-1.1863,-0.4173,0.8347
SHP10798,2024-09-09,Jaipur,Nagpur,Blue Dart,877.72,8.2,5.03,5422.57,Delivered,6.18,9,0,0.6002,0.1989,0.7207,0.7461,0.7626,-0.7504,1.3401,1.7861
SHP10944,2024-06-25,Jaipur,Ahmedabad,Blue Dart,69.21,14.12,0.58,581.85,Delivered,8.41,6,0,0.0377,0.348,0.0615,0.0132,-1.965,-0.1613,-1.8619,-1.4708
SHP10669,2024-10-30,Bengaluru,Kolkata,FedEx,915.01,13.575,4.38,5622.57,Delivered,6.14,10,0,0.6261,0.3342,0.7479,0.6391,0.8884,-0.2155,1.4724,1.3104
SHP10003,2024-07-25,Jaipur,Pune,FedEx,528.08,8.71,2.545,2169.07,Delivered,4.11,7,0,0.357,0.2118,0.2776,0.3368,-0.4169,-0.6997,-0.812,-0.0326
SHP10195,2024-02-05,Kolkata,Nagpur,Delhivery,475.07,5.35,0.5,2342.74,In Transit,4.93,2,0,0.3201,0.1272,0.3013,0.0,-0.5958,-1.034,-0.6971,-1.5293
SHP10205,2024-03-13,Hyderabad,Ahmedabad,Delhivery,208.46,20.06,0.5,1495.26,Delivered,7.17,3,0,0.1346,0.4975,0.1859,0.0,-1.4952,0.4299,-1.2577,-1.5293
SHP10331,2024-04-30,Delhi,Chennai,Blue Dart,502.86,17.84,1.7,3096.39,Delayed,6.16,4,1,0.3394,0.4416,0.4039,0.1977,-0.502,0.209,-0.1986,-0.6511
SHP10926,2024-11-10,Bengaluru,Hyderabad,UPS,776.81,18.81,4.79,3300.9300000000003,Delivered,4.25,11,0,0.53,0.4661,0.4318,0.7066,0.4222,0.3055,-0.0633,1.6105
SHP10710,2024-04-21,Jaipur,Nagpur,UPS,213.61,8.0,1.01,1182.47,Delayed,5.54,4,1,0.1382,0.1939,0.1433,0.084,-1.4778,-0.7703,-1.4646,-1.1561
SHP10718,2024-03-25,Jaipur,Nagpur,UPS,637.36,13.575,2.0,2334.74,In Transit,3.66,3,0,0.433,0.3342,0.3002,0.2471,-0.0483,-0.2155,-0.7024,-0.4315
SHP10491,2024-10-22,Mumbai,Kolkata,FedEx,189.17,4.69,1.66,767.44,In Transit,4.06,10,0,0.1212,0.1105,0.0867,0.1911,-1.5603,-1.0997,-1.7392,-0.6803
SHP10463,2024-10-09,Hyderabad,Mumbai,Blue Dart,783.78,12.3,1.79,3300.9300000000003,Delayed,4.21,10,1,0.5348,0.3021,0.4318,0.2125,0.4457,-0.3424,-0.0633,-0.5852
SHP10309,2024-04-02,Ahmedabad,Nagpur,Delhivery,537.95,13.575,3.58,2383.9,Delivered,4.43,4,0,0.3638,0.3342,0.3069,0.5073,-0.3836,-0.2155,-0.6699,0.7249
SHP10780,2024-11-10,Mumbai,Kolkata,Delhivery,582.81,0.7,1.92,2898.63,Returned,4.97,11,1,0.395,0.0101,0.377,0.2339,-0.2323,-1.4968,-0.3294,-0.49
