shipment_id,order_date,origin_city,destination_city,carrier,distance_km,weight_kg,delivery_time_days,shipping_cost_inr,status
SHP10824,2024-01-05,Chennai,Delhi,D.H.L,967.57,18.89,3.75,5132.02,Delivered
SHP10756,08/06/2024,Pune,Ahmedabad,DHL,171.84,18.48,0.84,1342.33,Delivered
SHP10877,2024-02-13,Mumbai,Hyderabad,FEDEX,805.37,9.53,3.3,4501.54,In Transit
SHP10274,03-21-2024,Kolkata,Jaipur,DELHIVERY,713.26,11.59,3.16,4192.35,Delivered
SHP10200,15/03/2024,Bengaluru,Pune,ups,82.05,15.71,0.5,699.45,Delivered
SHP10078,02-15-2024,Ahmedabad,Mumbai,Blue Dart,752.24,2.09,1.73,4008.59,Delivered
SHP10658,2024-12-07,Jaipur,Bengaluru,ups,419.61,6.86,0.58,2478.11,Delayed
SHP10262,25/01/2024,Ahmedabad,Hyderabad,Fed Ex,1073.05,16.79,6.45,5255.72,In Transit
SHP10663,08-16-2024,Chennai,Kolkata,blue dart,182.47,21.23,0.5,1338.19,Delayed
SHP10578,2024-09-15,Mumbai,Nagpur,BlueDart,656.09,5.47,3.06,3886.78,Delivered
SHP10156,08-17-2024,Delhi,Ahmedabad,Fed Ex,143.8,5.85,1.42,729.68,Delivered
SHP10090,28/09/2024,Delhi,Jaipur,DHL,316.67,4.52,2.51,1597.86,Delayed
SHP10101,09-21-2024,Hyderabad,Kolkata,blue dart,911.17,35.19,3.53,5200.69,Delivered
SHP10094,2024-05-11,Mumbai,Jaipur,ups,685.77,8.26,2.57,3456.52,Delivered
SHP10521,11-07-2024,Ahmedabad,Bengaluru,Fed Ex,504.59,27.87,3.6,3617.05,Delayed
SHP10546,2024-01-20,Nagpur,Jaipur,BlueDart,570.78,5.85,0.86,2449.95,In Transit
SHP10041,2024-03-30,Mumbai,Jaipur,FedEx,806.35,10.77,1.23,4584.18,Delayed
SHP10590,07/05/2024,Bengaluru,Nagpur,fedex,693.87,11.33,3.74,3090.71,Delivered
SHP10870,06/05/2024,Jaipur,Delhi,Fed Ex,694.8,10.61,2.22,4198.12,Returned
SHP10436,09-17-2024,Kolkata,Nagpur,dhl,978.84,7.18,3.92,3937.63,Delivered
SHP10034,09-22-2024,Mumbai,Bengaluru,FedEx,285.03,7.53,2.3,1533.51,Delivered
SHP10175,09/06/2024,Mumbai,Jaipur,BlueDart,988.21,14.37,4.03,5351.18,In Transit
SHP10035,23/09/2024,Jaipur,Hyderabad,Blue Dart,1134.86,20.41,4.91,5600.94,In Transit
SHP10148,14/05/2024,Delhi,Ahmedabad,blue dart,677.22,41.58,1.98,3679.14,Delayed
SHP10779,21/06/2024,Delhi,Bengaluru,FedEx,508.97,4.69,2.98,2222.99,In Transit
SHP10664,2024-04-26,Chennai,Ahmedabad,fedex,651.66,4.97,1.95,,Delivered
SHP10688,21/11/2024,Bengaluru,Delhi,delhivery,873.32,9.82,3.56,4543.23,Delayed
SHP10931,12-13-2024,Ahmedabad,Bengaluru,FedEx,361.88,10.39,1.16,1916.54,Delivered
SHP10814,2024-05-11,Jaipur,,Delhivery,688.18,22.77,3.12,4472.0,Cancelled
SHP10311,01-25-2024,Mumbai,Hyderabad,D.H.L,651.24,16.16,1.76,3942.44,In Transit
SHP10703,12-21-2024,Kolkata,Bengaluru,BlueDart,400.79,1.45,1.74,2393.64,Delivered
SHP10527,27/05/2024,Kolkata,Delhi,fedex,506.5,5.82,1.79,2792.72,Delivered
SHP10746,04-04-2024,Bengaluru,Ahmedabad,blue dart,517.81,18.71,2.76,2476.89,Delayed
SHP10640,05/02/2024,Hyderabad,Jaipur,DELHIVERY,820.01,30.35,3.83,3837.7,In Transit
SHP10577,18/11/2024,Kolkata,Ahmedabad,ups,1081.18,21.36,3.93,4538.34,Delivered
SHP10496,05-15-2024,Mumbai,Nagpur,delhivery,319.36,6.44,1.89,1704.2,Cancelled
SHP10271,10/11/2024,Kolkata,Chennai,FEDEX,578.11,17.48,0.54,3464.44,In Transit
SHP10940,28/05/2024,Chennai,Hyderabad,fedex,159.4,4.79,1.69,742.88,Delayed
SHP10017,03-22-2024,Jaipur,Nagpur,ups,453.56,18.49,0.54,2991.11,Cancelled
SHP10207,2024-12-13,Pune,Bengaluru,Fed Ex,351.7,21.38,0.5,1637.7,Delivered
SHP10340,05/08/2024,Hyderabad,Kolkata,Blue Dart,546.45,0.37,1.66,2367.19,Delivered
SHP10244,22/09/2024,Kolkata,Hyderabad,FEDEX,379.69,37.13,2.63,2592.81,Delivered
SHP10650,05/05/2024,Bengaluru,Chennai,Fed Ex,1177.43,14.1,3.11,6191.84,Delivered
SHP10241,05-18-2024,Ahmedabad,Pune,Fed Ex,190.14,8.67,0.5,1124.92,In Transit
SHP10065,13/02/2024,Ahmedabad,Delhi,D.H.L,823.87,19.52,5.35,3808.55,Delivered
SHP10358,2024-03-30,Kolkata,Pune,dhl,616.35,36.83,2.82,3552.23,In Transit
SHP10314,26/09/2024,Kolkata,Mumbai,FEDEX,309.87,32.3,1.83,1952.23,Delayed
SHP10560,2024-12-12,Hyderabad,Ahmedabad,DHL,601.89,3.43,,2347.38,In Transit
SHP10191,2024-01-17,Delhi,Chennai,dhl,512.96,14.41,0.99,3110.58,In Transit
SHP10368,09-03-2024,Kolkata,Hyderabad,D.H.L,372.18,30.44,2.68,2340.68,Delivered
SHP10754,26/06/2024,Chennai,Kolkata,UPS,976.74,15.63,3.91,5010.96,Delivered
SHP10652,10-27-2024,Hyderabad,Bengaluru,fedex,1022.64,10.8,3.89,4023.77,Delivered
SHP10223,12-27-2024,Jaipur,Pune,ups,677.24,20.61,2.25,3938.31,Delivered
SHP10186,2024-06-03,Jaipur,Nagpur,FEDEX,314.8,18.09,1.48,1807.35,Delivered
SHP10180,2024-02-13,Mumbai,Hyderabad,blue dart,261.4,39.86,0.5,2018.82,In Transit
SHP10268,01-11-2024,Mumbai,Kolkata,dhl,603.07,38.46,4.8,3012.22,Delivered
SHP10825,2024-01-09,Hyderabad,Jaipur,dhl,596.92,7.09,1.37,3179.16,Cancelled
SHP10582,09-27-2024,Jaipur,Nagpur,blue dart,846.1,19.47,1.88,3321.03,Delivered
SHP10345,2024-12-28,Nagpur,Chennai,D.H.L,965.56,3.01,5.53,3935.63,Delivered
SHP10795,05-20-2024,Kolkata,Ahmedabad,blue dart,827.19,20.95,1.62,4458.73,Delivered
SHP10950,09-27-2024,Nagpur,Hyderabad,fedex,689.36,61.34,2.74,4718.82,Delivered
SHP10699,09-23-2024,Nagpur,Ahmedabad,blue dart,339.95,32.84,0.52,2296.34,In Transit
SHP10429,07-31-2024,Jaipur,,Fed Ex,861.39,5.67,4.05,3112.93,Delivered
SHP10790,01-15-2024,Nagpur,Mumbai,UPS,389.18,20.02,0.5,2074.3,Delivered
SHP10971,31/05/2024,Ahmedabad,Chennai,blue dart,682.47,25.84,3.71,4099.89,Delivered
SHP10812,2024-05-30,Hyderabad,Ahmedabad,Delhivery,210.35,,1.46,1447.31,Delivered
SHP10806,2024-04-21,Pune,Kolkata,Blue Dart,590.59,47.74,1.43,3518.5,Delivered
SHP10408,07-07-2024,Hyderabad,Jaipur,D.H.L,840.41,11.66,2.9,4231.89,Delayed
SHP10154,10/05/2024,Mumbai,Jaipur,blue dart,1043.61,,1.42,6218.31,Delayed
SHP10581,01-08-2024,Nagpur,Delhi,DHL,662.71,10.15,3.31,3305.16,Delivered
SHP10013,01/09/2024,Jaipur,Kolkata,Fed Ex,236.99,21.03,0.5,1529.61,Delivered
SHP10680,17/10/2024,Jaipur,Mumbai,Fed Ex,1007.16,9.57,3.04,6091.63,Delivered
SHP10481,01/12/2024,Ahmedabad,Chennai,delhivery,626.49,11.48,1.28,2808.02,Delivered
SHP10962,12-25-2024,Pune,Mumbai,FEDEX,513.34,14.4,1.48,3143.18,In Transit
SHP10762,15/06/2024,Mumbai,Chennai,UPS,792.65,8.61,,4037.68,In Transit
SHP10692,12-01-2024,Kolkata,Pune,DELHIVERY,579.02,15.57,2.72,2307.55,Delivered
SHP10879,11/09/2024,Delhi,Chennai,Delhivery,256.94,8.33,0.5,1216.43,Delayed
SHP10727,2024-02-23,Ahmedabad,Pune,dhl,672.14,11.46,2.94,4116.16,Delivered
SHP10873,2024-05-09,Kolkata,Pune,U.P.S.,594.32,33.66,1.63,3538.91,Delivered
SHP10467,09/10/2024,Chennai,Kolkata,Blue Dart,615.3,15.39,1.32,3604.47,Delivered
SHP10306,2024-04-06,Kolkata,Nagpur,blue dart,479.99,7.82,0.5,2970.23,Delivered
SHP10267,07-23-2024,Delhi,Nagpur,DELHIVERY,1012.23,10.21,,5052.5,Delayed
SHP10059,22/10/2024,Ahmedabad,,U.P.S.,574.24,17.45,2.0,3458.62,In Transit
SHP10882,07-12-2024,Pune,Bengaluru,delhivery,474.44,34.03,0.5,2868.55,Delivered
SHP10956,2024-11-26,Delhi,Pune,dhl,1042.84,21.54,3.82,6456.26,Delivered
SHP10189,2024-11-23,Pune,Bengaluru,FedEx,1073.75,26.95,4.09,6676.26,Delivered
SHP10607,08/09/2024,Nagpur,Jaipur,Blue Dart,722.91,10.35,3.12,2906.27,Delivered
SHP10120,09/10/2024,Hyderabad,Nagpur,blue dart,775.24,3.82,3.73,2765.74,Cancelled
SHP10798,09/09/2024,Jaipur,Nagpur,Blue Dart,877.72,8.2,5.03,5422.57,Delivered
SHP10944,06-25-2024,Jaipur,Ahmedabad,Blue Dart,69.21,14.12,0.58,581.85,Delivered
SHP10669,30/10/2024,Bengaluru,Kolkata,FEDEX,915.01,,4.38,5622.57,Delivered
SHP10003,07-25-2024,Jaipur,Pune,fedex,528.08,8.71,,2169.07,Delivered
SHP10195,2024-02-05,Kolkata,Nagpur,Delhivery,475.07,5.35,0.5,2342.74,In Transit
SHP10205,2024-03-13,Hyderabad,Ahmedabad,delhivery,208.46,20.06,0.5,1495.26,Delivered
SHP10331,30/04/2024,Delhi,Chennai,BlueDart,502.86,17.84,1.7,3096.39,Delayed
SHP10926,2024-11-10,Bengaluru,Hyderabad,U.P.S.,776.81,18.81,4.79,,Delivered
SHP10710,04-21-2024,Jaipur,Nagpur,ups,213.61,8.0,1.01,1182.47,Delayed
SHP10718,03-25-2024,Jaipur,Nagpur,U.P.S.,637.36,,2.0,2334.74,In Transit
SHP10491,2024-10-22,Mumbai,Kolkata,fedex,189.17,4.69,1.66,767.44,In Transit
SHP10463,10-09-2024,Hyderabad,Mumbai,blue dart,783.78,12.3,1.79,,Delayed
SHP10309,2024-04-02,Ahmedabad,Nagpur,Delhivery,537.95,,3.58,2383.9,Delivered
SHP10780,2024-11-10,Mumbai,Kolkata,delhivery,582.81,0.7,1.92,2898.63,Returned
SHP10002,09-28-2024,Delhi,Hyderabad,blue dart,445.72,30.36,1.43,2403.69,Delivered
SHP10763,2024-05-13,Chennai,Delhi,blue dart,1115.71,18.18,4.79,4488.05,Delivered
SHP10242,06/05/2024,Chennai,Delhi,delhivery,152.03,16.78,0.5,1000.38,Delivered
SHP10888,14/10/2024,Chennai,Pune,FedEx,131.98,20.79,0.66,1017.16,Delivered
SHP10966,06/08/2024,Ahmedabad,Pune,ups,826.57,7.46,0.68,4107.15,Delivered
SHP10812,2024-05-30,Hyderabad,Ahmedabad,Delhivery,210.35,,1.46,1447.31,Delivered
SHP10967,2024-02-27,Bengaluru,Delhi,UPS,572.57,1.3,2.04,2303.07,Delivered
SHP10073,2024-08-06,Delhi,Mumbai,dhl,586.79,4.31,2.0,3347.68,Delivered
SHP10117,12-13-2024,Delhi,Nagpur,Delhivery,959.06,,3.27,4676.19,Delayed
SHP10389,2024-09-13,Mumbai,Nagpur,FedEx,1079.33,16.46,4.0,,Delivered
SHP10494,08/07/2024,Nagpur,Hyderabad,Delhivery,244.46,4.39,1.91,1155.84,Delivered
SHP10111,09-06-2024,Delhi,Chennai,BlueDart,471.17,,1.23,3064.55,Delivered
SHP10005,26/08/2024,Hyderabad,Ahmedabad,dhl,839.39,3.24,2.72,3269.13,In Transit
SHP10404,2024-09-02,Delhi,Chennai,dhl,781.98,29.9,2.09,4366.98,Delivered
SHP10797,13/03/2024,Delhi,Kolkata,FedEx,632.15,27.59,1.97,3092.81,Delivered
SHP10573,08/07/2024,Jaipur,Chennai,FedEx,830.33,8.44,2.99,4354.59,Cancelled
SHP10482,20/11/2024,Bengaluru,Chennai,BlueDart,221.15,41.57,1.74,1736.68,Delivered
SHP10823,05-28-2024,Nagpur,Delhi,FedEx,586.98,3.93,3.0,3315.34,Delivered
SHP10473,02-19-2024,Kolkata,Nagpur,U.P.S.,1406.21,24.73,7.48,6568.25,Delivered
SHP10008,06-30-2024,Chennai,Ahmedabad,blue dart,451.42,,2.29,1935.81,Delivered
SHP10856,08-09-2024,Bengaluru,Jaipur,D.H.L,315.17,17.73,0.5,1998.84,Delivered
SHP10056,20/05/2024,Ahmedabad,Bengaluru,blue dart,765.51,19.95,2.97,4795.11,Delayed
SHP10258,2024-02-01,Delhi,Nagpur,fedex,1256.19,2.24,4.92,7008.55,Delayed
SHP10850,13/09/2024,Nagpur,Bengaluru,Delhivery,306.89,22.98,0.83,1481.72,In Transit
SHP10979,2024-06-28,Kolkata,Pune,DHL,622.8,13.58,0.78,2980.42,Cancelled
SHP10702,08-05-2024,Jaipur,Kolkata,DELHIVERY,229.56,23.62,2.36,1617.62,Delayed
SHP10084,07-13-2024,Jaipur,Ahmedabad,blue dart,301.38,1.24,1.24,1470.63,In Transit
SHP10403,06/12/2024,Hyderabad,Bengaluru,FedEx,573.85,22.59,2.04,3360.29,Delivered
SHP10159,2024-11-02,Bengaluru,Jaipur,Blue Dart,698.62,22.38,2.57,4144.02,Delayed
SHP10720,08-17-2024,Bengaluru,Ahmedabad,fedex,818.38,5.55,3.46,,In Transit
SHP10125,2024-08-26,Mumbai,Pune,ups,819.86,8.42,3.37,3842.43,Delivered
SHP10834,04-29-2024,Hyderabad,Pune,DELHIVERY,296.42,5.45,1.34,1469.1,Delivered
SHP10902,14/02/2024,Delhi,Ahmedabad,UPS,968.55,,3.66,3863.73,Delivered
SHP10486,07/02/2024,Hyderabad,Delhi,Delhivery,869.92,12.36,3.83,4920.76,Cancelled
SHP10354,08-16-2024,Nagpur,Bengaluru,Fed Ex,363.41,10.63,1.41,2067.05,In Transit
SHP10785,10/09/2024,Jaipur,Delhi,blue dart,705.86,1.43,2.54,3010.67,In Transit
SHP10809,11-04-2024,Kolkata,Bengaluru,D.H.L,456.83,63.9,1.32,3317.95,Cancelled
SHP10388,04-09-2024,Kolkata,Bengaluru,ups,551.28,10.86,2.44,2479.57,Delivered
SHP10339,06-05-2024,Nagpur,Ahmedabad,UPS,209.52,11.07,1.38,1035.23,Cancelled
SHP10081,10/07/2024,Bengaluru,Pune,FedEx,113.99,12.11,1.48,703.21,Delivered
SHP10238,07-15-2024,Nagpur,Ahmedabad,UPS,638.83,15.48,2.71,2942.24,Cancelled
SHP10959,25/08/2024,Chennai,Hyderabad,D.H.L,524.28,19.59,2.47,3392.09,Delivered
SHP10716,2024-08-11,Delhi,Ahmedabad,BlueDart,773.17,15.78,3.14,4658.02,Delivered
SHP10202,16/10/2024,Jaipur,Nagpur,DELHIVERY,741.15,12.41,,3644.37,Delivered
SHP10965,29/03/2024,Bengaluru,Hyderabad,FEDEX,945.58,26.99,3.32,5461.34,Delivered
SHP10228,08-13-2024,Bengaluru,Hyderabad,fedex,852.54,0.76,3.74,3917.29,Cancelled
SHP10997,06-03-2024,Kolkata,Pune,DELHIVERY,83.32,14.19,0.5,689.43,Delayed
SHP10216,2024-12-09,Chennai,Jaipur,DHL,410.36,10.02,1.96,2175.37,Cancelled
SHP10598,2024-10-08,Hyderabad,Ahmedabad,UPS,601.36,14.78,2.46,3022.66,Delayed
SHP10050,06-08-2024,Mumbai,Delhi,dhl,975.59,17.49,3.59,,Delivered
SHP10584,2024-07-30,Jaipur,Mumbai,blue dart,1228.21,10.06,,7201.5,In Transit
SHP10516,2024-06-07,Bengaluru,Chennai,UPS,247.94,13.32,2.07,1176.52,Delivered
SHP10831,2024-01-21,Jaipur,Pune,UPS,650.16,11.83,1.31,4078.82,Delivered
SHP10602,18/02/2024,Jaipur,Mumbai,delhivery,848.96,0.3,4.24,3115.74,Delivered
SHP10201,03-31-2024,Delhi,Mumbai,Blue Dart,709.51,6.88,3.23,4225.98,Delivered
SHP10704,06-17-2024,Ahmedabad,Nagpur,delhivery,1162.97,43.04,4.45,5152.77,Delivered
SHP10194,20/09/2024,Delhi,Kolkata,blue dart,815.56,26.97,2.17,4955.64,Delivered
SHP10898,2024-12-12,Ahmedabad,Mumbai,FEDEX,340.0,16.22,0.56,2046.87,Delivered
SHP10676,2024-08-07,Nagpur,Pune,D.H.L,376.73,11.63,0.5,,Delivered
SHP10839,2024-05-12,Bengaluru,Delhi,delhivery,454.78,18.79,1.4,2218.63,Delivered
SHP10236,06/11/2024,Mumbai,Bengaluru,U.P.S.,728.23,12.99,5.68,,Delivered
SHP10593,01-24-2024,Jaipur,Chennai,,844.57,3.25,4.16,3811.22,Delayed
SHP10255,2024-05-08,Chennai,Ahmedabad,DELHIVERY,816.57,2.32,3.05,4590.89,Delivered
SHP10443,2024-09-17,Jaipur,Chennai,blue dart,473.04,4.7,0.5,2290.58,Delayed
SHP10597,2024-10-18,Mumbai,Kolkata,D.H.L,1249.49,29.73,5.57,5547.98,Delivered
SHP10559,09-14-2024,Ahmedabad,Mumbai,fedex,527.81,9.59,2.92,2460.25,Delivered
SHP10990,14/07/2024,Jaipur,Nagpur,FedEx,870.8,1.97,3.29,3446.05,In Transit
SHP10426,06/01/2024,Ahmedabad,Chennai,,812.18,49.4,3.26,4715.66,Cancelled
SHP10452,13/09/2024,Mumbai,Nagpur,BlueDart,764.51,12.79,4.04,3551.75,Delivered
SHP10989,2024-09-06,Mumbai,Kolkata,Delhivery,586.63,16.35,2.51,3443.76,In Transit
SHP10479,09-29-2024,Mumbai,Ahmedabad,ups,543.02,16.05,1.11,2406.21,Delivered
SHP10047,08/05/2024,Delhi,Chennai,Delhivery,173.13,1.34,,,Delivered
SHP10529,10-11-2024,Bengaluru,Mumbai,Blue Dart,56.82,32.77,0.61,956.91,In Transit
SHP10647,2024-12-03,Pune,Nagpur,FEDEX,532.89,6.06,2.64,3097.97,Delayed
SHP10019,01/07/2024,Mumbai,Nagpur,ups,1167.1,11.56,3.56,5240.78,Returned
SHP10725,22/09/2024,Delhi,Pune,FEDEX,274.63,12.42,1.44,1698.35,Delivered
SHP10783,03-19-2024,Kolkata,Pune,Fed Ex,611.39,5.72,,2517.55,Delivered
SHP10341,12-08-2024,Bengaluru,Nagpur,Fed Ex,371.5,19.0,1.2,2336.67,Delivered
SHP10686,24/12/2024,Jaipur,Chennai,blue dart,805.46,48.2,2.05,5256.62,Cancelled
SHP10679,09-21-2024,Pune,Kolkata,fedex,414.41,40.48,0.64,2389.11,Delivered
SHP10629,2024-04-11,Jaipur,Chennai,BlueDart,631.1,2.59,3.55,3135.09,Delayed
SHP10592,07-14-2024,Mumbai,Pune,BlueDart,646.61,18.93,3.55,3056.5,Delivered
SHP10836,03/10/2024,Mumbai,Jaipur,ups,708.11,16.37,2.79,3455.61,Delivered
SHP10933,2024-05-25,Jaipur,Nagpur,FEDEX,639.95,15.6,1.79,3594.52,In Transit
SHP10364,27/12/2024,Mumbai,Chennai,delhivery,485.9,12.83,2.39,2035.69,Delivered
SHP10177,2024-02-10,Pune,Nagpur,DELHIVERY,851.37,6.83,2.91,3579.66,Cancelled
SHP10644,29/03/2024,Hyderabad,Delhi,blue dart,652.68,17.69,2.03,2885.62,Returned
SHP10060,17/12/2024,Pune,Chennai,DELHIVERY,720.63,16.07,,2916.0,Delayed
SHP10788,02-23-2024,Chennai,Kolkata,DELHIVERY,593.08,11.51,4.52,3606.62,Delivered
SHP10992,04-26-2024,Nagpur,Kolkata,ups,199.59,2.37,1.24,1074.31,Delivered
SHP10304,02-05-2024,Mumbai,Kolkata,fedex,420.06,4.33,1.35,2578.95,In Transit
SHP10923,06/01/2024,Chennai,Bengaluru,FedEx,791.08,5.27,3.13,4490.98,In Transit
SHP10673,08/10/2024,Mumbai,Jaipur,Blue Dart,860.47,19.9,2.4,3587.99,Delivered
SHP10773,2024-07-29,Hyderabad,Kolkata,D.H.L,505.47,25.91,2.68,3083.89,Delayed
SHP10107,2024-04-21,Jaipur,Ahmedabad,fedex,277.47,11.33,0.5,1360.78,Delivered
SHP10759,28/05/2024,Bengaluru,Jaipur,Blue Dart,324.45,35.77,0.78,2257.89,Delivered
SHP10802,10/12/2024,Jaipur,Ahmedabad,ups,1330.88,13.13,3.65,6253.58,Delivered
SHP10587,20/08/2024,Nagpur,Mumbai,DHL,987.48,5.48,3.7,4895.05,Delivered
SHP10819,09/02/2024,Mumbai,Chennai,D.H.L,1857.75,21.82,6.79,9939.91,Delivered
SHP10099,08-12-2024,Hyderabad,Kolkata,D.H.L,716.94,20.77,3.97,4086.71,Delivered
SHP10233,07-27-2024,Kolkata,Ahmedabad,U.P.S.,15.0,9.33,,302.97,Delivered
SHP10242,06/05/2024,Chennai,Delhi,delhivery,152.03,16.78,0.5,1000.38,Delivered
SHP10502,2024-05-11,Kolkata,Jaipur,fedex,986.93,48.05,4.56,4784.28,Delivered
SHP10439,09-03-2024,Hyderabad,Kolkata,UPS,292.44,36.17,0.5,1585.85,Delayed
SHP10419,16/08/2024,Hyderabad,Jaipur,Blue Dart,467.27,33.32,2.17,2851.53,Delivered
SHP10543,06-17-2024,Nagpur,Jaipur,blue dart,609.85,8.79,2.12,3264.9,Delivered
SHP10395,19/09/2024,Nagpur,Mumbai,Delhivery,838.25,16.93,,3156.97,Delivered
SHP10366,02/06/2024,Hyderabad,Chennai,DHL,638.33,21.17,2.09,3412.54,Delivered
SHP10181,2024-02-22,Chennai,Kolkata,dhl,15.0,5.54,1.17,139.79,Delivered
SHP10012,04-19-2024,Pune,Mumbai,fedex,703.78,15.74,3.17,2941.26,Delivered
SHP10623,06-12-2024,Hyderabad,Nagpur,delhivery,31.84,31.53,0.5,526.33,In Transit
SHP10085,03-17-2024,Jaipur,Kolkata,DELHIVERY,311.67,,0.92,,Delivered
SHP10810,28/12/2024,Delhi,Kolkata,UPS,1020.9,30.24,2.22,4806.09,Delivered
SHP10861,11-02-2024,Mumbai,Hyderabad,DHL,638.8,10.31,,2526.27,Delivered
SHP10969,2024-10-11,Mumbai,Chennai,BlueDart,680.39,27.75,3.23,4376.24,Delivered
SHP10608,2024-03-17,Bengaluru,Hyderabad,blue dart,909.21,20.63,,4290.95,Delivered
SHP10170,2024-06-22,Nagpur,Chennai,Delhivery,946.56,17.46,2.29,5319.89,Delivered
SHP10635,04/08/2024,Pune,Hyderabad,UPS,553.39,,2.64,2675.26,Delivered
SHP10135,2024-03-30,Jaipur,Delhi,FedEx,612.86,,3.33,3264.84,Returned
SHP10576,05/05/2024,Bengaluru,Chennai,FedEx,387.47,5.48,2.92,1620.8,Delivered
SHP10301,05-22-2024,Delhi,Hyderabad,dhl,1259.42,13.0,5.01,7597.25,Delivered
SHP10160,05-03-2024,Pune,Mumbai,UPS,958.63,1.05,3.68,5308.19,Delivered
SHP10600,2024-01-11,Ahmedabad,Nagpur,fedex,1463.16,4.36,5.75,8528.09,Delivered
SHP10320,2024-03-29,Nagpur,Pune,FEDEX,467.53,6.81,0.5,1910.02,Returned
SHP10474,07-22-2024,Chennai,Kolkata,DHL,695.46,,3.58,3041.78,Delayed
SHP10921,29/09/2024,Chennai,Ahmedabad,FEDEX,3257.961791172422,18.16,1.78,1908.74,Delivered
SHP10525,10/09/2024,Delhi,Mumbai,Delhivery,631.91,74.39,3.14,3739.13,In Transit
SHP10542,01-12-2024,Mumbai,,blue dart,480.56,16.63,1.72,1936.06,Delivered
SHP10838,02-12-2024,Delhi,Mumbai,U.P.S.,863.59,17.99,3.08,5253.26,Delayed
SHP10121,04-19-2024,Hyderabad,Delhi,DELHIVERY,607.7,36.24,3.18,3134.61,Delivered
SHP10743,2024-11-24,Ahmedabad,Mumbai,UPS,1159.01,5.31,3.41,6432.68,Delivered
SHP10187,2024-02-10,Kolkata,Delhi,FedEx,913.69,3.08,3.69,4495.06,Delivered
SHP10016,14/08/2024,Jaipur,Nagpur,U.P.S.,360.46,7.16,2.28,1721.32,Delivered
SHP10848,2024-07-31,Bengaluru,Kolkata,DHL,658.31,44.69,4.09,3978.49,Delivered
